name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"goethe-satyros","ger000388","Q19226867","Goethe","0","Satyros oder der vergötterte Waldteufel","Drama","","http://www.textgridrep.org/textgrid:11gn9.0","","","","","1773","16","false","0.8824675324675324","0.6416666666666667","1.3583333333333334","several characters","9.625","2","","1817","15","16","3","13","0","","1","77","1773","5","1","5","3119","3051","182","0","498"
"goethe-stella","ger000126","Q2342072","Goethe","0","Stella","Ein Schauspiel für Liebende","","http://www.textgridrep.org/textgrid:11hdv.0","","","","","1776","10","false","0.9048412698412698","0.8444444444444444","1.1555555555555554","several characters","7.6","2","1776","1776","9","10","5","5","0","","1","38","1775","5","4","5","12136","12058","667","444","0"
"goethe-torquato-tasso","ger000082","Q1432001","Goethe","0","Torquato Tasso","Ein Schauspiel","","http://www.textgridrep.org/textgrid:11d2m.0","","","","","1790","5","false","1","1","1","several characters","4","1","1807","1790","4","5","2","3","0","","1","10","1780/1789","24","8","5","25603","25445","260","0","3476"
"gotter-der-dorfjahrmarkt","ger000009","Q55102998","Gotter","0","Der Dorfjahrmarkt","Eine komische Oper in zwei Aufzügen","","http://www.textgridrep.org/textgrid:nkdt.0","","","","","1775","18","true","0.806425364758698","0.6274509803921569","1.3986928104575163","lukas|fikfak","10.666666666666666","3","1775","1778","16","18","4","14","0","","1","96","","25","0","2","11547","11210","1474","623","226"
"gotter-die-geisterinsel","ger000061","Q60788321","Gotter","1","Die Geisterinsel","Ein Singspiel in drey Akten","","http://www.textgridrep.org/textgrid:nkdq.0","","","","","1798","13","true","0.8470529470529472","0.7692307692307693","1.2307692307692308","miranda|prospero","9.23076923076923","2","1798","","12","13","1","10","2","","1","60","","28","1","3","13185","11699","2425","356","1079"
"gotter-medea","ger000246","Q3853644","Gotter","0","Medea","","","http://www.textgridrep.org/textgrid:nkdm.0","","","","","1775","5","true","0.7","0.7","1.3","medea","2.8","2","1775","1782","4","5","2","3","0","","1","7","","5","3","0","2222","2161","304","43","0"
"gottsched-atalanta","ger000252","Q55103320","Gottsched","0","Atalanta oder die bezwungene Sprödigkeit","Ein Schäferspiel, in fünf Aufzügen","","http://www.textgridrep.org/textgrid:nkww.0","","","","","1741","9","false","0.9365079365079363","0.8888888888888888","1.1111111111111112","several characters","7.111111111111111","2","","1741","8","9","3","6","0","","1","32","","37","0","5","15579","15082","405","0","1753"
"gottsched-der-sterbende-cato","ger000244","Q51396085","Gottsched","0","Der sterbende Cato","Ein Trauerspiel","Tragedy","http://www.textgridrep.org/textgrid:nks0.0","","","","","1731","10","false","0.7921428571428573","0.5555555555555556","1.4666666666666666","cato","5","3","1731","1732","8","10","2","8","0","","1","25","1730","31","0","5","20073","14889","371","1","1712"
"gottschedin-das-testament","ger000220","Q42291271","Gottsched","0","Das Testament","Ein deutsches Lustspiel in fünf Aufzügen","Comedy","http://www.textgridrep.org/textgrid:nm24.0","","","","","1745","12","false","0.8282407407407407","0.6363636363636364","1.393939393939394","fraeulein_amalie","7","3","","1745","10","12","3","9","0","","1","42","","39","1","5","24529","24023","1682","1111","0"
"gottschedin-der-witzling","ger000395","Q55102908","Gottsched","0","Der Witzling","Ein deutsches Nachspiel in einem Aufzuge","Comedy","http://www.textgridrep.org/textgrid:nm27.0","","","","","1745","7","false","0.7333333333333334","0.6666666666666666","1.3333333333333333","jungfer_lottchen","4","2","","1745","6","7","1","6","0","","1","14","","9","1","0","8830","8626","593","369","3"
